Aula,Semana,Data,Dia,Tema,Objetivo,Conteúdo Detalhado,Atividades,Material Prévio,Entregáveis,Referência
Aula 21,11,,Segunda,"[SINFONIA - EXPOSIÇÃO] Checkpoint 1 - Apresentação da Exposição Completa","Consolidar e apresentar todos os artefatos do Movimento 1 (Exposição). Validar alinhamento estratégico antes de prosseguir para o Movimento 2.","Apresentações formais (10 min por equipe) do Movimento Exposição completo: Canvas de Estratégia, Personas, Declaração de Missão/Visão, Solução Priorizada e Escopo MVP. Avaliação pelo professor usando rubrica específica: clareza do problema, profundidade de empatia com usuário, viabilidade técnica, alinhamento estratégico. Feedback construtivo e sugestões de ajustes. Aprovação para prosseguir para o Movimento 2 (Composição).","Apresentações formais de 10 minutos por equipe. Estrutura: (1) Problema e contexto, (2) Personas e insights de usuários, (3) Missão/Visão e métricas, (4) Solução escolhida e MVP. Q&A de 5 min após cada apresentação. Peer review estruturado. Feedback escrito do professor entregue em 48h.","Finalizar todos os artefatos da Exposição. Preparar slides de apresentação (máximo 10 slides). Ensaiar apresentação (timing e clareza).","Apresentação completa do Movimento Exposição. Todos os artefatos: Canvas de Estratégia, Personas, Missão/Visão, Matriz de Priorização, Escopo MVP. Documento consolidado (5-8 páginas).","Garcia & Medeiros (2025) - Sinfonia Cap. 4; Rubrica de avaliação do Checkpoint 1"
Aula 22,11,,Quarta,"[SINFONIA - COMPOSIÇÃO] Introdução + AULA ESPECIAL: Prompt Engineering para Engenharia de Software","Iniciar o Movimento 2 (Composição) com foco intensivo em Prompt Engineering - habilidade crítica para trabalhar com LLMs em ES.","Movimento 2 da Sinfonia: Composição - Desenhar a Solução. Importância do Prompt Engineering para o sucesso de soluções baseadas em LLMs. Técnicas avançadas de prompting: Zero-shot, Few-shot, Chain-of-Thought (CoT), Role-playing, Self-consistency, Tree of Thoughts. Prompting para tarefas específicas de ES: geração de código, análise de requisitos, geração de testes, refatoração, documentação. Iteração e refinamento de prompts. Avaliação de qualidade de outputs. Introdução ao Catálogo de Registros de Prompt da Sinfonia.","Workshop intensivo de Prompt Engineering (90 min): Parte 1 (30 min): Apresentação de técnicas e exemplos. Parte 2 (40 min): Exercícios práticos hands-on em duplas - otimizar prompts para 5 tarefas de SE diferentes. Parte 3 (20 min): Competição amigável - qual dupla consegue o melhor resultado para um desafio de prompting? Discussão: padrões emergentes, anti-patterns, melhores práticas. Início do Catálogo de Registros de Prompt para o projeto.","Ler: Artigos sobre prompt engineering (lista fornecida). Explorar: Prompt libraries (Awesome Prompts, LangChain Hub). Ler: Sinfonia Cap. 5 - introdução e Catálogo de Prompts. Preparar: LLM configurado para testes.","Exercícios de prompt engineering completados. Primeiros 3-5 registros de prompt no Catálogo do projeto (templates iniciais). Reflexão (1 página): insights sobre prompt engineering.","Garcia & Medeiros (2025) - Sinfonia Cap. 5.2.3; White et al. (2023) - Prompt Engineering Guide; OpenAI Cookbook; Anthropic Prompt Library"
Aula 23,12,,Segunda,[SINFONIA - COMPOSIÇÃO] Arquitetura da Solução com C4 Model,"Desenhar a arquitetura técnica da solução usando o C4 Model, facilitando comunicação entre stakeholders técnicos e não-técnicos.","Atividade 1 do Movimento Composição: Arquitetura com C4 Model. Revisão do C4 Model: Context, Container, Component, Code. Level 1 (Context): sistema no contexto, usuários, sistemas externos. Level 2 (Container): aplicações, databases, serviços. Level 3 (Component): componentes dentro de containers. Como a IA se integra na arquitetura: onde os LLMs serão usados? APIs, pipelines, interfaces. Decisões arquiteturais: monolítico vs. microservices, síncrono vs. assíncrono, cloud vs. on-premise.","Workshop de arquitetura: cada equipe desenha C4 Model (Levels 1 e 2 obrigatórios, Level 3 opcional) para sua solução. Ferramentas: draw.io, Lucidchart, ou papel. Identificar: onde a IA se encaixa? Quais componentes são críticos? Quais são os pontos de falha? Apresentação de 5 min por equipe. Feedback arquitetural do professor: escalabilidade, segurança, manutenibilidade.","Ler: Sinfonia Cap. 5 - Atividade 1 (C4 Model). Revisar: C4 Model documentation completa. Estudar: arquiteturas de referência para sistemas de IA (papers, cases).","C4 Model completo (Levels 1-2, Level 3 opcional). Documento de decisões arquiteturais: justificativa para escolhas-chave, trade-offs considerados, riscos identificados.","Garcia & Medeiros (2025) - Sinfonia Cap. 5.2.1; C4 Model documentation; Belzner (2023); Richards & Ford (2020) - Software Architecture Patterns"
Aula 24,12,,Quarta,[SINFONIA - COMPOSIÇÃO] Design de Prompts e Catálogo de Registros,"Desenvolver e documentar os prompts que serão usados na solução, criando um Catálogo de Registros de Prompt robusto.","Atividade 2 do Movimento Composição: Catálogo de Registros de Prompt. Estrutura de um registro de prompt: objetivo, contexto, prompt template, parâmetros, exemplos de input/output, métricas de avaliação. Versionamento de prompts: por que é crítico? Como gerenciar. Testes A/B de prompts: comparar variações. Estratégias de prompting para diferentes LLMs (GPT-4, Claude, Gemini). Considerações de custo: tokens, latência, qualidade. Salvaguardas: filtros de conteúdo, validação de outputs.","Workshop: cada equipe desenvolve seu Catálogo de Registros de Prompt. Objetivo: documentar todos os prompts que serão usados no MVP (mínimo 5-7 prompts). Para cada prompt: escrever versão inicial, testar com dados reais, iterar para melhorar, documentar no catálogo. Sessão de peer review: equipes trocam catálogos e testam os prompts umas das outras. Discussão: clareza, eficácia, robustez dos prompts.","Ler: Sinfonia Cap. 5 - Atividade 2. Revisar: aula 22 sobre Prompt Engineering. Preparar: lista de tarefas que exigirão prompts no projeto. Testar: variações de prompts para tarefas principais.","Catálogo de Registros de Prompt v1.0: mínimo 5-7 prompts documentados com template completo, exemplos, e resultados de testes. Análise comparativa de pelo menos 2 variações de prompts para a tarefa principal.","Garcia & Medeiros (2025) - Sinfonia Cap. 5.2.3; Material da Aula 22; LangChain documentation; Anthropic Prompt Engineering Guide"
Aula 25,13,,Segunda,[SINFONIA - COMPOSIÇÃO] Design de Experimento e Definição de MVP,"Planejar o experimento para validar o MVP, usando o Canvas de Design de Experimento da Sinfonia.","Atividade 3 do Movimento Composição: Canvas de Design de Experimento. Estrutura do canvas: hipótese a validar, métricas de sucesso, condições de teste, riscos, critérios de decisão (pivotar/perseverar/parar). Como formular boas hipóteses testáveis. Definição clara do MVP: features mínimas necessárias para testar a hipótese. Planejamento de testes: quantos usuários? Quanto tempo? Quais dados coletar? Considerações éticas: consentimento, privacidade, transparência sobre uso de IA.","Workshop: cada equipe preenche o Canvas de Design de Experimento. Definir: (1) Hipótese principal, (2) Métricas quantitativas e qualitativas, (3) Método de coleta de dados, (4) Critérios de sucesso. Discussão em pequenos grupos sobre viabilidade e ética dos experimentos planejados. Apresentação de 5 min por equipe. Feedback do professor sobre rigor metodológico.","Ler: Sinfonia Cap. 5 - Atividade 3. Ler: Kohavi et al. (2020) sobre A/B testing e experimentação online. Revisar: conceitos de hipóteses e métricas (Aula 19).","Canvas de Design de Experimento completo. Plano de teste detalhado: cronograma, recursos necessários, riscos mitigados. Documento de considerações éticas (1-2 páginas).","Garcia & Medeiros (2025) - Sinfonia Cap. 5.2.4; Kohavi et al. (2020) - Trustworthy Online Controlled Experiments; Material sobre experimentação"
Aula 26,13,,Quarta,"[SINFONIA - COMPOSIÇÃO] Checkpoint 2 - Apresentação da Composição Completa","Consolidar e apresentar todos os artefatos do Movimento 2 (Composição). Validar design técnico antes de iniciar construção.","Apresentações formais (10 min por equipe) do Movimento Composição completo: C4 Model, Catálogo de Registros de Prompt, Canvas de Design de Experimento. Avaliação pelo professor: qualidade arquitetural, robustez dos prompts, rigor do design de experimento. Validação técnica: a solução é implementável no tempo disponível? Os prompts funcionam como esperado? O experimento é ético e viável? Aprovação para prosseguir para o Movimento 3 (Ensaio).","Apresentações formais de 10 minutos por equipe. Estrutura: (1) Visão geral da arquitetura, (2) Demonstração de prompts-chave, (3) Plano de experimento e MVP. Q&A de 5 min. Sessão especial: demonstração ao vivo de 2-3 prompts funcionando (pode ser prototype simples). Feedback técnico detalhado do professor. Peer review.","Finalizar todos os artefatos da Composição. Preparar slides de apresentação. Testar prompts-chave e preparar demonstração. Validar arquitetura internamente.","Apresentação completa do Movimento Composição. Todos os artefatos: C4 Model, Catálogo de Prompts v1, Canvas de Experimento. Demonstração funcional de prompts. Documento consolidado (5-8 páginas).","Garcia & Medeiros (2025) - Sinfonia Cap. 5; Rubrica de avaliação do Checkpoint 2"
Aula 27,14,,Segunda,[SINFONIA - ENSAIO] Início da Construção - Sprint 1,"Iniciar o Movimento 3 (Ensaio): construir e testar o MVP. Sprint 1 focado em implementação dos componentes core.","Movimento 3 da Sinfonia: Ensaio - Construir e Testar. Objetivo da fase: transformar o design em código funcional. Metodologia de trabalho: sprints semanais com stand-ups, pair programming, code reviews. Setup técnico: repositório GitHub, CI/CD básico, ambiente de desenvolvimento. Implementação dos componentes principais identificados na arquitetura. Integração de LLMs via APIs. Foco em funcionalidade core, não em polish.","Stand-up rápido (5 min por equipe): objetivos da sprint, divisão de tarefas. Trabalho em equipe (75 min) com suporte do professor. Implementar: estrutura básica da aplicação, integração com API do LLM principal, componentes críticos identificados na arquitetura. Mini code review ao final da aula: cada equipe mostra o código desenvolvido até agora e recebe feedback rápido. Discussão de blockers e próximos passos.","Ler: Sinfonia Cap. 6 - introdução ao Ensaio. Preparar: ambiente de desenvolvimento, API keys configuradas, repositório GitHub criado, CI/CD básico. Revisar: arquitetura (C4 Model) e prompts (Catálogo).","Código v0.1 em repositório GitHub. README atualizado. Pelo menos um componente core funcionando. Documentação de setup para outros membros da equipe.","Garcia & Medeiros (2025) - Sinfonia Cap. 6; Fowler (2018) - Refactoring; Martin (2008) - Clean Code"
Aula 28,14,,Quarta,[SINFONIA - ENSAIO] Sprint 2: Integração e Testes Iniciais,"Continuar desenvolvimento, integrar componentes e implementar testes automatizados iniciais.","Continuação da construção. Sprint 2: integração de componentes, implementação de testes unitários e de integração. Uso de ferramentas de IA para geração de testes (aplicando conceitos da Aula 9). Garantir que o código segue boas práticas: clean code, SOLID principles. Documentação inline (docstrings, comentários). Início do Canvas de Testes e Validação da Sinfonia.","Stand-up (5 min por equipe). Trabalho em equipe (60 min): integrar componentes desenvolvidos na Sprint 1, resolver bugs, implementar testes automatizados. Sessão de pair programming (20 min): equipes se dividem em pares e praticam pair programming para resolver um desafio técnico. Code review entre equipes (15 min): equipe A revisa código da equipe B. Discussão de findings.","Continuar desenvolvimento. Preparar: código da Sprint 1 em estado estável. Revisar: conceitos de testes (Aula 9). Ler: Sinfonia - Canvas de Testes e Validação.","Código v0.2 com componentes integrados. Suite de testes automatizados (mínimo 5 unit tests). CI/CD rodando testes automaticamente. Relatório de code review recebido.","Garcia & Medeiros (2025) - Sinfonia Cap. 6.2.2; Beck (2002) - Test-Driven Development; Material da Aula 9"
Aula 29,15,,Segunda,[SINFONIA - ENSAIO] Sprint 3: Testes de Qualidade e Canvas de Validação,"Realizar testes abrangentes de qualidade, preencher Canvas de Testes e Validação, avaliar outputs da IA.","Atividade 2 do Movimento Ensaio: Canvas de Testes e Validação. Testes de qualidade para sistemas com IA: testes de funcionalidade, testes de qualidade de outputs do LLM, testes de edge cases, testes de performance e latência. Avaliação de hallucination: como detectar e mitigar. Métricas de qualidade: precisão, recall, F1-score (se aplicável), satisfação do usuário. Documentar resultados no Canvas de Testes e Validação.","Stand-up (5 min). Workshop de testes (40 min): cada equipe executa bateria de testes no MVP. Testes funcionais, testes de qualidade de IA, testes de edge cases. Documentar resultados no Canvas de Testes e Validação. Identificar: quais outputs da IA são confiáveis? Onde ocorrem erros? Discussão em grupo (20 min): estratégias para mitigar hallucinations e melhorar qualidade. Trabalho em equipe (35 min): implementar melhorias baseadas nos testes.","Preparar: MVP em estado testável. Ler: Sinfonia Cap. 6 - Canvas de Testes. Ler: Wang et al. (2024) sobre testing de LLMs. Preparar: casos de teste abrangentes.","Canvas de Testes e Validação completo. Relatório de testes: resultados quantitativos e qualitativos, bugs encontrados, análise de qualidade de outputs da IA. Código v0.3 com correções.","Garcia & Medeiros (2025) - Sinfonia Cap. 6.2.2; Wang et al. (2024); Material da Aula 9"
Aula 30,15,,Quarta,"[SINFONIA - ENSAIO] AULA ESPECIAL: Segurança, Vulnerabilidades e Confiabilidade de IA","Abordar tópicos críticos de segurança de código gerado por IA, vulnerabilidades, hallucinations, e confiabilidade de sistemas de IA.","Segurança em sistemas de IA: vulnerabilidades comuns introduzidas por código gerado por LLMs, prompt injection attacks, data leakage, adversarial attacks. Hallucination em LLMs: o que é, por que acontece, como detectar, estratégias de mitigação (validação, fact-checking, confidence scoring). Confiabilidade de outputs: quando confiar na IA? Como validar resultados críticos? Testes de robustez. Boas práticas: sandboxing, input validation, rate limiting, monitoring. Avaliação de segurança do projeto.","Palestra (30 min): segurança e confiabilidade de IA na ES, casos reais de vulnerabilidades, melhores práticas. Workshop de segurança (40 min): cada equipe realiza avaliação de segurança do seu MVP. Checklist: code injection risks, prompt injection, data privacy, error handling, hallucination mitigation. Identificar e documentar vulnerabilidades. Atividade hands-on (30 min): tentar ""quebrar"" o sistema de outra equipe (controlled red team exercise). Discussão: vulnerabilidades descobertas, como corrigir.","Ler: Wu et al. (2024) sobre segurança de LLMs. Ler: material sobre prompt injection e adversarial attacks. Ler: Meira (2024) Seção 7.2 sobre hallucination. Preparar: MVP para análise de segurança.","Relatório de segurança (3-4 páginas): vulnerabilidades identificadas, severidade, plano de mitigação. Análise de confiabilidade: onde o sistema pode falhar? Estratégias implementadas para mitigar hallucination.","Wu et al. (2024); Meira (2024) - Seção 7.2; Divakaran & Peddinti (2024); OWASP Top 10 for LLMs; Material sobre segurança de IA"
Aula 31,16,,Segunda,[SINFONIA - ENSAIO] Sprint 4: Refinamento e Checklist de Lançamento,"Refinar o MVP, corrigir vulnerabilidades identificadas, e preparar para lançamento usando o Checklist de Lançamento.","Atividade 3 do Movimento Ensaio: Checklist de Lançamento. Preparação para lançamento: correção de bugs críticos, implementação de melhorias de segurança (da Aula 30), otimização de performance, refinamento de UX. Checklist de Lançamento da Sinfonia: aspectos técnicos, conformidade, privacidade, documentação, comunicação. Preparação de documentação: README completo, guia de instalação, API docs (se aplicável), user guide.","Stand-up (5 min). Trabalho em equipe (50 min): refinar MVP, corrigir bugs e vulnerabilidades, implementar melhorias críticas. Preencher Checklist de Lançamento: cada equipe revisa sistematicamente todos os itens. Sessão de QA (25 min): cada equipe faz QA do sistema de outra equipe, reportando bugs. Working session (20 min): corrigir bugs críticos encontrados no QA. Final check: MVP está pronto para demonstração?","Preparar: lista de bugs e melhorias prioritárias. Ler: Sinfonia Cap. 6 - Checklist de Lançamento. Revisar: relatório de segurança (Aula 30). Começar: documentação técnica.","Código v0.9 (quase final) com bugs críticos corrigidos. Checklist de Lançamento completo e validado. Documentação técnica completa: README, installation guide, user guide. MVP pronto para demonstração.","Garcia & Medeiros (2025) - Sinfonia Cap. 6.2.3; Material sobre deployment e release management"
Aula 32,16,,Quarta,"[SINFONIA - ENSAIO] Checkpoint 3 - Demonstração do MVP Funcional","Apresentar o MVP funcional completo. Demonstração ao vivo, análise de qualidade e preparação para o lançamento.","Apresentações formais (12 min por equipe) do Movimento Ensaio completo: demonstração ao vivo do MVP, apresentação de resultados de testes e qualidade, discussão de decisões técnicas e trade-offs. Avaliação pelo professor: funcionalidade, qualidade técnica, robustez, segurança, documentação. Cada equipe deve demonstrar: (1) fluxo principal de uso, (2) integração com IA funcionando, (3) qualidade de outputs, (4) tratamento de erros. Feedback e aprovação para prosseguir para o Movimento 4 (Ressonância).","Apresentações formais de 12 minutos por equipe. Estrutura: (1) Demonstração ao vivo do MVP (6 min), (2) Resultados de testes e validação (3 min), (3) Análise de segurança e confiabilidade (3 min). Q&A de 5 min com foco técnico. Peer evaluation: cada equipe testa o MVP de outra. Feedback detalhado do professor entregue em 48h.","Finalizar MVP. Preparar demonstração (testar múltiplas vezes). Preparar slides de apoio (máximo 8 slides). Garantir: sistema estável, demonstração sem bugs.","Apresentação completa do Movimento Ensaio. MVP funcional e demonstrável. Canvas de Testes e Validação. Checklist de Lançamento. Documentação técnica completa. Vídeo demo de 3-5 min (opcional mas recomendado).","Garcia & Medeiros (2025) - Sinfonia Cap. 6; Rubrica de avaliação do Checkpoint 3"
Aula 33,17,,Segunda,[SINFONIA - RESSONÂNCIA] Lançamento Simulado e Coleta de Feedback,"Iniciar o Movimento 4 (Ressonância): lançar o MVP para um grupo de usuários simulados e coletar feedback.","Movimento 4 da Sinfonia: Ressonância - Medir e Aprender. Objetivo da fase: validar hipóteses, aprender com usuários, tomar decisões estratégicas. Atividade 1: Lançamento e Coleta de Feedback. Estratégias de lançamento: soft launch, beta testing, pilot program. Métodos de coleta de feedback: entrevistas, surveys, observação de uso, análise de logs. Métricas quantitativas vs. qualitativas. Simulação de usuários: professor, colegas de outras equipes, convidados externos (se possível).","Lançamento simulado: cada equipe ""lança"" seu MVP para usuários simulados (outras equipes atuam como usuários, seguindo as personas definidas na Exposição). Cada equipe atua como usuário de outro projeto por 20 min. Coleta de feedback estruturada: formulário de feedback, observação de uso, entrevistas curtas. Compilação inicial de feedback: cada equipe organiza o feedback recebido. Discussão: surpresas? Validações? Invalidações de hipóteses?","Preparar: MVP em estado de lançamento. Criar: formulário de feedback para usuários. Ler: Sinfonia Cap. 7 - introdução à Ressonância. Preparar: roteiro de observação de uso.","Feedback coletado de pelo menos 5 usuários simulados. Formulários de feedback preenchidos. Notas de observação de uso. Gravações (se aplicável). Compilação inicial de insights.","Garcia & Medeiros (2025) - Sinfonia Cap. 7; Material sobre user research e feedback collection"
Aula 34,17,,Quarta,"[SINFONIA - RESSONÂNCIA] Análise de Feedback, Insights e Palestra Convidada","Analisar sistematicamente o feedback coletado, gerar insights e tomar decisões baseadas em evidências. Palestra sobre avaliação de sistemas de IA.","Atividade 2 do Movimento Ressonância: Painel de Feedback e Insights. Como analisar feedback: categorização, identificação de padrões, priorização de issues. Métricas quantitativas: calcular métricas definidas no Canvas de Experimento (Aula 25). Análise qualitativa: temas recorrentes, citações relevantes, observações surpreendentes. Painel de Feedback e Insights da Sinfonia. Decisão estratégica: otimizar, pivotar, perseverar ou parar? PALESTRA CONVIDADA (30 min): Pesquisador apresenta métodos de avaliação de sistemas de IA, estado da arte em métricas e benchmarks.","Palestra (30 min): pesquisador sobre avaliação de sistemas de IA. Q&A (10 min). Workshop de análise (50 min): cada equipe preenche o Painel de Feedback e Insights. Analisar feedback, calcular métricas, identificar insights-chave. Responder: as hipóteses foram validadas? O MVP atende às necessidades dos usuários? Quais melhorias são prioritárias? Sessão de decisão estratégica (10 min): cada equipe decide próximos passos (para apresentação final).","Organizar todo o feedback coletado. Ler: Sinfonia Cap. 7 - Painel de Feedback. Calcular: métricas definidas no Canvas de Experimento. Preparar: análise preliminar de feedback.","Painel de Feedback e Insights completo. Análise detalhada de feedback: quantitativa e qualitativa. Cálculo de todas as métricas. Lista priorizada de melhorias. Decisão estratégica documentada com justificativa. Relatório da palestra (1 página).","Garcia & Medeiros (2025) - Sinfonia Cap. 7.2.2; Material fornecido pelo palestrante; Kohavi et al. (2020)"
Aula 35,18,,Segunda,[SINFONIA - RESSONÂNCIA] Apresentações Finais - Parte 1,"Apresentação formal dos projetos finais completos (metade das equipes). Demonstração da jornada completa pelos 4 movimentos da Sinfonia.","Apresentações finais formais (18 min por equipe + 7 min Q&A = 25 min total por equipe). Estrutura da apresentação: (1) Exposição: problema, personas, missão (3 min), (2) Composição: arquitetura, prompts, design de experimento (4 min), (3) Ensaio: demonstração do MVP, testes, segurança (6 min), (4) Ressonância: feedback, insights, métricas, decisão estratégica (5 min). Avaliação final pelo professor usando rubrica completa. Peer evaluation.","Apresentações formais de 4-5 equipes (metade da turma). Cada apresentação: 18 min de apresentação + 7 min de Q&A. Demonstração ao vivo obrigatória. Estrutura rígida seguindo os 4 movimentos da Sinfonia. Painel de avaliação: professor + convidado(s) se possível. Peer evaluation: cada aluno avalia todas as apresentações.","Finalizar TUDO. Preparar apresentação final (máximo 20 slides seguindo estrutura dos 4 movimentos). Ensaiar múltiplas vezes (timing é crítico). Garantir: demo funciona perfeitamente, backup plan se houver problemas técnicos.","Apresentação final completa. Demonstração ao vivo. Todos os artefatos dos 4 movimentos consolidados. Documento final do projeto (15-20 páginas): jornada completa pela Sinfonia, aprendizados, resultados, reflexões.","Garcia & Medeiros (2025) - Sinfonia completo; Rubrica de avaliação final"
Aula 36,18,,Quarta,"[SINFONIA - RESSONÂNCIA] Apresentações Finais - Parte 2 + Retrospectiva e Encerramento","Apresentação formal dos projetos finais das equipes restantes. Retrospectiva geral da disciplina e encerramento.","Continuação das apresentações finais (4-5 equipes restantes). Mesma estrutura e critérios da Aula 35. Após apresentações: Retrospectiva Geral da Disciplina (40 min): O que aprendemos ao longo do semestre? Como a IA está transformando a ES? Reflexão sobre a jornada pela Sinfonia: qual movimento foi mais desafiador? Qual mais valioso? Discussão sobre o futuro: como vocês usarão IA em suas carreiras? Avaliação da disciplina: survey de feedback. Encerramento: agradecimentos, próximos passos, networking.","Apresentações formais de 4-5 equipes restantes (mesma estrutura da Aula 35). Retrospectiva facilitada (40 min): Parte 1 (15 min): Retrospectiva individual - cada aluno escreve 3 aprendizados-chave e 1 desafio superado. Parte 2 (15 min): Retrospectiva em pequenos grupos - compartilhar e discutir. Parte 3 (10 min): Retrospectiva geral - temas emergentes. Survey de avaliação da disciplina (10 min): feedback estruturado para melhoria contínua. Encerramento e celebração (10 min): palavras finais do professor, fotos da turma, networking.","Finalizar TUDO (equipes restantes). Refletir: sobre toda a jornada da disciplina desde a Aula 1. Preparar: feedback construtivo para a disciplina.","Apresentação final completa (equipes restantes). Documento final do projeto. Survey de avaliação preenchido. Reflexão final individual (opcional, 1-2 páginas): jornada pessoal, principais aprendizados, próximos passos na carreira.","Garcia & Medeiros (2025) - Sinfonia completo; Rubrica de avaliação final; Retrospectiva template"
